iter	Passed	Remaining
0	191	191025
1	195	97742
2	202	67298
3	206	51451
4	210	41920
5	215	35764
6	220	31291
7	225	28010
8	231	25520
9	236	23424
10	241	21682
11	246	20265
12	250	19039
13	255	17971
14	260	17093
15	264	16277
16	268	15550
17	273	14948
18	278	14390
19	283	13891
20	287	13411
21	290	12916
22	293	12464
23	296	12048
24	298	11659
25	302	11315
26	303	10955
27	305	10620
28	307	10310
29	310	10036
30	312	9756
31	314	9507
32	316	9273
33	318	9039
34	319	8809
35	320	8590
36	322	8383
37	323	8187
38	324	8000
39	325	7819
40	326	7643
41	327	7478
42	330	7347
43	331	7210
44	333	7073
45	334	6937
46	335	6806
47	336	6680
48	337	6558
49	339	6441
50	340	6328
51	341	6222
52	342	6119
53	344	6036
54	345	5942
55	347	5852
56	348	5763
57	349	5677
58	350	5594
59	351	5512
60	353	5434
61	354	5358
62	355	5284
63	356	5213
64	357	5146
65	359	5086
66	360	5023
67	361	4960
68	363	4901
69	364	4842
70	365	4783
71	366	4727
72	368	4673
73	369	4620
74	370	4568
75	371	4517
76	373	4478
77	374	4432
78	376	4385
79	377	4341
80	378	4297
81	379	4253
82	380	4204
83	381	4162
84	382	4121
85	383	4080
86	385	4040
87	386	4001
88	387	3968
89	389	3934
90	390	3899
91	391	3866
92	392	3831
93	393	3797
94	395	3764
95	396	3731
96	397	3702
97	398	3672
98	400	3642
99	402	3623
100	404	3598
101	405	3572
102	407	3547
103	408	3522
104	410	3498
105	411	3471
106	412	3444
107	413	3419
108	415	3393
109	416	3368
110	418	3348
111	419	3324
112	420	3301
113	421	3277
114	422	3254
115	424	3231
116	425	3207
117	426	3185
118	427	3164
119	428	3142
120	429	3120
121	430	3097
122	431	3078
123	433	3061
124	434	3040
125	435	3021
126	436	3000
127	437	2981
128	438	2962
129	439	2943
130	440	2924
131	442	2906
132	443	2888
133	444	2871
134	445	2854
135	447	2841
136	448	2824
137	449	2808
138	450	2791
139	451	2776
140	453	2760
141	453	2742
142	454	2726
143	456	2711
144	457	2695
145	458	2680
146	459	2665
147	460	2651
148	462	2640
149	463	2626
150	464	2612
151	465	2598
152	466	2584
153	467	2570
154	468	2556
155	470	2543
156	471	2530
157	472	2517
158	473	2504
159	474	2491
160	475	2477
161	476	2467
162	478	2454
163	479	2442
164	480	2430
165	481	2419
166	482	2406
167	483	2395
168	484	2384
169	485	2372
170	487	2361
171	488	2349
172	489	2338
173	490	2329
174	491	2319
175	493	2308
176	494	2298
177	495	2287
178	496	2277
179	497	2266
180	498	2256
181	499	2245
182	500	2236
183	501	2225
184	502	2215
185	504	2206
186	505	2198
187	506	2189
188	508	2180
189	509	2172
190	510	2164
191	512	2155
192	513	2146
193	514	2137
194	515	2128
195	516	2119
196	517	2110
197	518	2101
198	520	2095
199	521	2087
200	523	2079
201	524	2071
202	525	2064
203	527	2056
204	528	2049
205	529	2042
206	531	2034
207	532	2026
208	533	2019
209	536	2017
210	537	2010
211	538	2002
212	539	1994
213	541	1987
214	542	1979
215	543	1972
216	544	1964
217	545	1957
218	546	1950
219	547	1942
220	549	1935
221	550	1929
222	551	1921
223	552	1914
224	553	1907
225	554	1900
226	556	1893
227	557	1886
228	558	1879
229	559	1872
230	560	1865
231	561	1859
232	562	1852
233	563	1845
234	565	1840
235	566	1833
236	567	1826
237	568	1820
238	569	1813
239	570	1807
240	571	1800
241	572	1794
242	574	1788
243	575	1782
244	576	1776
245	577	1769
246	578	1763
247	580	1759
248	581	1753
249	582	1747
250	583	1741
251	584	1735
252	586	1730
253	587	1724
254	588	1718
255	589	1713
256	590	1707
257	591	1701
258	592	1696
259	594	1692
260	595	1687
261	597	1682
262	598	1676
263	599	1671
264	600	1666
265	602	1661
266	603	1656
267	604	1650
268	605	1645
269	606	1640
270	607	1635
271	609	1630
272	610	1626
273	611	1620
274	612	1615
275	613	1610
276	615	1605
277	616	1600
278	617	1595
279	618	1590
280	619	1585
281	620	1580
282	621	1575
283	622	1570
284	624	1566
285	625	1561
286	626	1556
287	627	1551
288	628	1547
289	629	1542
290	631	1537
291	632	1532
292	633	1528
293	634	1523
294	635	1518
295	636	1514
296	638	1510
297	639	1506
298	640	1501
299	641	1497
300	642	1492
301	643	1488
302	644	1483
303	646	1479
304	647	1474
305	648	1470
306	649	1465
307	650	1461
308	651	1457
309	653	1453
310	654	1450
311	656	1447
312	657	1443
313	658	1438
314	659	1434
315	660	1430
316	662	1426
317	663	1422
318	664	1418
319	665	1413
320	666	1409
321	667	1405
322	669	1402
323	670	1398
324	671	1394
325	672	1390
326	673	1386
327	674	1382
328	675	1378
329	677	1374
330	678	1370
331	679	1366
332	680	1362
333	681	1359
334	683	1356
335	684	1352
336	685	1349
337	686	1345
338	688	1342
339	689	1338
340	690	1334
341	691	1330
342	692	1326
343	693	1323
344	695	1319
345	696	1316
346	697	1312
347	698	1309
348	699	1305
349	701	1301
350	702	1298
351	703	1294
352	704	1290
353	705	1287
354	706	1283
355	707	1279
356	708	1276
357	709	1273
358	711	1269
359	712	1266
360	713	1263
361	715	1260
362	716	1256
363	717	1253
364	718	1249
365	719	1246
366	720	1242
367	721	1239
368	722	1235
369	723	1232
370	724	1229
371	726	1225
372	727	1223
373	729	1220
374	730	1216
375	731	1213
376	732	1210
377	733	1207
378	734	1203
379	735	1200
380	737	1197
381	738	1194
382	739	1191
383	740	1187
384	741	1184
385	743	1182
386	744	1179
387	745	1175
388	746	1172
389	747	1169
390	748	1166
391	749	1162
392	750	1159
393	752	1156
394	753	1153
395	754	1150
